,objectid,bygning_id,bygningstype_navn,bruksareal_totalt,antall_etasjer,bebygd_areal,energiomraadeid,tatt_i_bruk,bygningsomraadeid,y,x,har_fjernvarme,har_grunnvarme,har_adresse,he,bolig,ventilasjonsprinsipp,siste_rehab,byggetype,varme_fra_energisentral,strøm,varmt_tappevann_fra,profet_bygningstype,profet_bygningsstandard,varmeløsning,profet_date,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,scenario_navn,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
0,1,520146,Annen forretningsbygning,3774,4,0,radiator,1012018,EksisterendeOgBT3,59.963944,10.733188,,,OMT72,0.0,0.0,Balansert,2018,Næring/energisentral,0,0,"Egen produksjon, samt tilskudd fra Varmesentral 2 (OMT38)",Andre,Eldre,Radiator,,False,False,False,False,False,False,0,0,False,"[64.44408958 63.27320495 66.50995793 ... 57.97509014 57.5086996
 59.97267816]","[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]","[59.0887481  58.18985716 61.73183617 ... 51.4442941  51.61671872
 54.04424723]",[5.35534148 5.08334779 4.77812176 ... 6.53079604 5.89198088 5.92843092],"[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]",0.0,0.0,970500.0,75.0,118.0,451772.4148503546,0.0,0,518732.8205539068,0.0,0.0,0,22.6276480128,0.0,0,52.460195647199996,0.0,0.0,0,37.6282175166,0.0,0,80.7929005812,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,0,0,0,0,0,"[101.62054005  99.94095607 103.06660325 ...  98.78763073  97.20555823
  98.67236862]"
1,2,562854,Studenthjem/studentboliger,2012,5,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963686,10.732332,,,OMT62,84.0,28.0,Avtrekksventilasjon. Balansert i kjeller,1991,Boligblokk,320264,309869,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[30.0964229  27.30717588 26.71996598 ... 30.48789617 29.60708132
 27.55184667]","[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]","[48.62206747 45.92929546 46.53886418 ... 46.55648096 45.01377426
 41.61277426]",[4.63141114 4.65552989 4.95472455 ... 4.0171462  3.85167323 3.5152319 ],"[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]",1278.0,766800.0,207600.0,18.0,18.0,143139.73300584458,102242.66643274615,0,166729.26699415664,40897.06657309846,0.0,0,0.0,0.0,0,18.448177663767456,0.0,0.0,0,0.0,0.0,0,18.105638555952144,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.59897797 7.80205025 7.63427599 ... 8.71082748 8.45916609 7.87195619],"[-21.49744493 -19.50512563 -19.08568999 ... -21.77706869 -21.14791523
 -19.67989048]",[0. 0. 0. ... 0. 0. 0.],0,0,"[28.07285739 27.27592967 27.10815541 ... 28.18470689 27.93304551
 27.34583561]"
2,3,562855,Studenthjem/studentboliger,1672,5,0,rehab2021Panelovn,1012022,EksisterendeOgBT3,59.963363,10.732333,,,OMT66,63.0,63.0,Balansert,2022,Boligblokk,240198,115027,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,[8.80207798 8.47431686 8.47563847 ... 6.61832543 7.46944706 6.57383098],[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],"[22.69631141 22.44090654 23.33981213 ... 18.66976402 19.02446677
 17.11952667]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],482.0,289200.0,76500.0,7.0,5.0,53947.90024436054,38534.21446025753,0,61079.099755639414,15413.685784103012,0.0,0,0.004951754078901693,0.003536967199215495,0,7.137949977288927,0.0014147868796861984,0.0,0,0.0,0.0,0,5.4922015471174745,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[2.51487942 2.42123339 2.42161099 ... 1.89095012 2.13412773 1.87823742],"[-6.28719856 -6.05308347 -6.05402748 ... -4.72737531 -5.33531933
 -4.69559355]",[0. 0. 0. ... 0. 0. 0.],0,0,[9.6528294  9.55918337 9.55956097 ... 9.0289001  9.27207771 9.0161874 ]
3,4,562856,Studenthjem/studentboliger,1672,5,0,rehab2021Panelovn,1012021,EksisterendeOgBT3,59.963381,10.731653,,,OMT64,63.0,63.0,Balansert,2021,Boligblokk,240198,234408,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[19.47000043 16.1507542  15.66262975 ... 17.22462798 21.22724843
 21.03199866]","[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]","[33.36423386 30.11734388 30.5268034  ... 29.27606657 32.78226814
 31.57769435]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]",827.0,496200.0,168300.0,16.0,15.0,92604.90525608274,66146.36089720197,0,141803.0947439164,26458.544358880783,0.0,0,0.0,0.0,0,16.010481823190805,0.0,0.0,0,0.0,0.0,0,14.959061766875166,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[5.56285727 4.6145012  4.47503707 ... 4.92132228 6.06492812 6.00914247],"[-13.90714316 -11.536253   -11.18759268 ... -12.3033057  -15.16232031
 -15.02285618]",[0. 0. 0. ... 0. 0. 0.],0,0,"[22.01881605 21.07045998 20.93099586 ... 21.37728106 22.52088691
 22.46510126]"
4,5,562857,Studenthjem/studentboliger,1616,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963362,10.731008,,,OMT58,63.0,63.0,Avtrekksventilasjon,1991,Boligblokk,240198,225041,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[28.96938357 26.940738   25.72355066 ... 27.34646711 26.53500889
 23.49204054]",[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],"[42.86361699 40.90732769 40.58772431 ... 39.3979057  38.09002859
 34.03773623]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],1244.0,746400.0,125600.0,7.0,10.0,139273.74855561214,99481.2489682944,0,85767.25144438795,39792.49958731776,0.0,0,0.0,0.0,0,7.2016917624501255,0.0,0.0,0,0.0,0.0,0,9.737498721059325,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.27696673 7.69735371 7.3495859  ... 7.81327632 7.58143111 6.71201158],"[-20.69241683 -19.24338429 -18.37396476 ... -19.5331908  -18.95357778
 -16.78002895]",[0. 0. 0. ... 0. 0. 0.],0,0,"[18.35901033 17.77939731 17.4316295  ... 17.89531991 17.66347471
 16.79405518]"
5,6,562858,Studenthjem/studentboliger,1616,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963353,10.730362,,,OMT56,63.0,63.0,Avtrekksventilasjon,1991,Boligblokk,240198,217773,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[30.26422843 29.66788198 28.77336231 ... 24.40015504 25.19528364
 27.38188727]",[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],"[44.15846185 43.63447167 43.63753596 ... 36.45159363 36.75030334
 37.92758296]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],1159.0,695400.0,125000.0,9.0,9.0,129817.38341809102,92726.70244149359,0,87955.61658190853,37090.68097659743,0.0,0,0.0,0.0,0,8.647023466138931,0.0,0.0,0,0.0,0.0,0,8.945196689109238,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.64692241 8.47653771 8.22096066 ... 6.97147287 7.19865247 7.82339636],"[-21.61730602 -21.19134427 -20.55240165 ... -17.42868217 -17.99663117
 -19.55849091]",[0. 0. 0. ... 0. 0. 0.],0,0,"[18.9342523  18.76386761 18.50829056 ... 17.25880277 17.48598236
 18.11072626]"
6,7,562859,Studenthjem/studentboliger,1616,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963675,10.730433,,,OMT52,63.0,63.0,Avtrekksventilasjon,1991,Boligblokk,240198,209777,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[34.8133227  33.71389659 33.51400093 ... 25.1183833  25.1183833
 25.91796593]",[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],"[48.70755613 47.68048627 48.37817458 ... 37.16982189 36.673403
 36.46366162]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],1109.0,665400.0,121000.0,8.0,9.0,124228.14773984265,88734.39124274475,0,85548.85226015806,35493.7564970979,0.0,0,0.0,0.0,0,7.995826315651581,0.0,0.0,0,0.0,0.0,0,9.495043749836253,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[9.94666363 9.63254188 9.57542884 ... 7.17668094 7.17668094 7.40513312],"[-24.86665907 -24.0813547  -23.93857209 ... -17.94170235 -17.94170235
 -18.51283281]",[0. 0. 0. ... 0. 0. 0.],0,0,"[19.90996829 19.59584655 19.5387335  ... 17.13998561 17.13998561
 17.36843779]"
7,8,562860,Studenthjem/studentboliger,1616,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963685,10.73106,,,OMT54,63.0,63.0,Avtrekksventilasjon,1991,Boligblokk,240198,162351,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[17.81004766 15.31407618 14.02151952 ... 14.64551239 15.84892721
 16.91862928]",[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],"[31.70428109 29.28066587 28.88569317 ... 26.69695098 27.40394692
 27.46432497]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],808.0,484800.0,97700.0,8.0,7.0,90478.7984644371,64627.71318888366,0,71872.20153556277,25851.085275553458,0.0,0,0.0,0.0,0,7.844481805513301,0.0,0.0,0,0.0,0.0,0,6.596496063727095,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[5.08858505 4.37545034 4.00614843 ... 4.18443211 4.52826492 4.83389408],"[-12.72146262 -10.93862584 -10.01537109 ... -10.46108028 -11.3206623
 -12.0847352 ]",[0. 0. 0. ... 0. 0. 0.],0,0,"[13.48623796 12.77310325 12.40380135 ... 12.58208502 12.92591783
 13.23154699]"
8,9,562861,Studenthjem/studentboliger,1672,5,0,rehab2021Panelovn,1012022,EksisterendeOgBT3,59.963828,10.731766,,,OMT60,1702.0,63.0,Balansert,2022,Boligblokk,240198,133695,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[11.10474774  9.21161002  8.93320742 ...  9.82409575 12.10699711
 11.99563607]",[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],"[24.99898116 23.17819971 23.79738107 ... 21.87553435 23.66201682
 22.54133177]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],472.0,283200.0,96000.0,9.0,9.0,52817.36463009618,37726.689021497274,0,80877.63536989904,15090.675608598907,0.0,0,0.0,0.0,0,9.13160543732051,0.0,0.0,0,0.0,0.0,0,8.531926226589158,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[3.17278507 2.63188858 2.55234498 ... 2.8068845  3.45914203 3.42732459],"[-7.93196267 -6.57972145 -6.38086244 ... -7.01721125 -8.64785508
 -8.56831148]",[0. 0. 0. ... 0. 0. 0.],0,0,"[12.55846904 12.01757255 11.93802895 ... 12.19256848 12.84482601
 12.81300857]"
9,10,592797,Studenthjem/studentboliger,1969,5,0,radiator,1012018,EksisterendeOgBT3,59.964701,10.732976,,,OMT6,72.0,72.0,Balansert,2018,Boligblokk,274512,50799,Varmesentral 1 (OMT72),Hus,Eldre,Radiator,,False,False,False,False,False,False,0,0,True,[2.38838887 2.38838887 2.38838887 ... 0.         0.         0.        ],[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],"[18.26751278 18.35020565 19.3760159  ... 13.77307268 13.2057368
 12.05222365]",[3.96978098 3.9904542  4.24690676 ... 3.44326817 3.3014342  3.01305591],[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],0.0,0.0,50800.0,7.0,2.0,16829.440481896872,0.0,0,33969.55951810325,0.0,0.0,0,2.6040152988597036,0.0,0,4.296030543882729,0.0,0.0,0,0.0,0.0,0,1.5093850280999068,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,0,0,0,0,0,[6.68441941 6.68441941 6.68441941 ... 4.09690222 2.37189076 2.58751719]
